year,province,cohort_type,actual_intake,optimal_intake,aci_value,niv_per_unit,scenario
2019,NB,high_wage_worker,2945,0,0.3922,412526.93,aci_equal
2019,NB,in_canada_transition,4845,0,0.3922,237641.37,aci_equal
2019,NB,low_quality_student,1230,0,0.3922,-211205.93,aci_equal
2019,NB,low_wage_worker,1700,0,0.3922,-180555.42,aci_equal
2019,NB,refugee,480,2034,0.3922,-439889.84,aci_equal
2019,NL,family_class,215,0,0.4297,-133783.0,aci_equal
2019,NL,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,NL,high_quality_student,2185,0,0.4297,99711.36,aci_equal
2019,NL,high_wage_worker,1840,0,0.4297,412526.93,aci_equal
2019,NL,in_canada_transition,1075,0,0.4297,237641.37,aci_equal
2019,NL,low_quality_student,485,0,0.4297,-211205.93,aci_equal
2019,NL,low_wage_worker,435,0,0.4297,-180555.42,aci_equal
2019,NL,refugee,385,2034,0.4297,-439889.84,aci_equal
2019,NS,family_class,855,0,0.3251,-133783.0,aci_equal
2019,NS,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,NS,high_quality_student,7350,0,0.3251,99711.36,aci_equal
2019,NS,high_wage_worker,5760,0,0.3251,412526.93,aci_equal
2019,NS,in_canada_transition,5460,0,0.3251,237641.37,aci_equal
2019,NS,low_quality_student,3270,0,0.3251,-211205.93,aci_equal
2019,NS,low_wage_worker,2230,0,0.3251,-180555.42,aci_equal
2019,NS,refugee,790,2034,0.3251,-439889.84,aci_equal
2019,NT,family_class,55,0,,-133783.0,aci_equal
2019,NT,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,NT,high_quality_student,0,0,0.5,99711.36,aci_equal
2019,NT,high_wage_worker,80,0,,412526.93,aci_equal
2019,NT,in_canada_transition,50,0,,237641.37,aci_equal
2019,NT,low_quality_student,10,0,,-211205.93,aci_equal
2019,NT,low_wage_worker,5,0,,-180555.42,aci_equal
2019,NT,refugee,0,2034,0.5,-439889.84,aci_equal
2019,NU,family_class,5,0,,-133783.0,aci_equal
2019,NU,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,NU,high_quality_student,0,0,0.5,99711.36,aci_equal
2019,NU,high_wage_worker,20,0,,412526.93,aci_equal
2019,NU,in_canada_transition,5,0,,237641.37,aci_equal
2019,NU,low_quality_student,0,0,0.5,-211205.93,aci_equal
2019,NU,low_wage_worker,0,0,0.5,-180555.42,aci_equal
2019,NU,refugee,0,2034,0.5,-439889.84,aci_equal
2019,ON,family_class,42565,0,0.4021,-133783.0,aci_equal
2019,ON,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,ON,high_quality_student,149250,0,0.4021,99711.36,aci_equal
2019,ON,high_wage_worker,172755,0,0.4021,412526.93,aci_equal
2019,ON,in_canada_transition,32230,0,0.4021,237641.37,aci_equal
2019,ON,low_quality_student,54790,0,0.4021,-211205.93,aci_equal
2019,ON,low_wage_worker,39535,0,0.4021,-180555.42,aci_equal
2019,ON,refugee,28640,2034,0.4021,-439889.84,aci_equal
2019,PE,family_class,105,0,,-133783.0,aci_equal
2019,PE,francophone_pr,0,147,0.5,444285.46,aci_equal
2019,PE,high_quality_student,1275,0,,99711.36,aci_equal
2019,PE,high_wage_worker,1745,0,,412526.93,aci_equal
2019,PE,in_canada_transition,2115,0,,237641.37,aci_equal
2019,PE,low_quality_student,655,0,,-211205.93,aci_equal
2019,PE,low_wage_worker,1075,0,,-180555.42,aci_equal
2019,PE,refugee,55,2034,,-439889.84,aci_equal
2019,QC,family_class,9650,0,0.4475,-133783.0,aci_equal
2019,QC,francophone_pr,3834,147,0.4475,444285.46,aci_equal
2019,QC,high_quality_student,45845,0,0.4475,99711.36,aci_equal
